dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386
13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386
12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386
11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386
10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386
09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386
08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386
07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386
06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386
