"","country","date","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k"
"7644","Vietnam",2020-01-27,2,0,0,0,0,0,2,0,0,0
"390","Australia",2020-01-28,5,0,0,0,0,0,5,0,0,0
"1140","Cambodia",2020-01-28,1,0,0,0,0,0,1,0,0,0
"1259","Canada",2020-01-28,2,1,0,0,0,0,2,0,0,0
"2376","France",2020-01-28,4,1,0,0,0,0,4,0,0,0
"2549","Germany",2020-01-28,4,3,0,0,0,0,4,0,0,0
"2877","Hong Kong",2020-01-28,8,0,0,0,0,0,8,0.1,0,0.1
"3550","Japan",2020-01-28,7,3,0,0,1,0,6,0,0,0
"4141","Macao",2020-01-28,7,1,0,0,0,0,7,1.1,0.2,1.1
"4201","Mainland China",2020-01-28,5494,2631,131,49,101,43,5262,0.4,0.2,0.4
"4312","Malaysia",2020-01-28,4,0,0,0,0,0,4,0,0,0
"4822","Nepal",2020-01-28,1,0,0,0,0,0,1,0,0,0
"5685","Republic of Korea",2020-01-28,4,0,0,0,0,0,4,0,0,0
"6233","Singapore",2020-01-28,7,2,0,0,0,0,7,0.1,0,0.1
"6560","Sri Lanka",2020-01-28,1,0,0,0,0,0,1,0,0,0
"6857","Taiwan",2020-01-28,8,3,0,0,0,0,8,0,0,0
"6893","Thailand",2020-01-28,14,6,0,0,5,3,9,0,0,0
"7500","USA",2020-01-28,5,0,0,0,0,0,5,0,0,0
"7637","Vietnam",2020-01-28,2,0,0,0,0,0,2,0,0,0
"332","Australia",2020-01-29,6,1,0,0,0,0,6,0,0,0
"1119","Cambodia",2020-01-29,1,0,0,0,0,0,1,0,0,0
"1275","Canada",2020-01-29,2,0,0,0,0,0,2,0,0,0
"2290","Finland",2020-01-29,1,1,0,0,0,0,1,0,0,0
"2350","France",2020-01-29,5,1,0,0,0,0,5,0,0,0
"2500","Germany",2020-01-29,4,0,0,0,0,0,4,0,0,0
"2930","Hong Kong",2020-01-29,10,2,0,0,0,0,10,0.1,0,0.1
"3488","Japan",2020-01-29,7,0,0,0,1,0,6,0,0,0
"4111","Macao",2020-01-29,7,0,0,0,0,0,7,1.1,0,1.1
"4219","Mainland China",2020-01-29,6070,576,133,2,120,19,5817,0.4,0,0.4
"4302","Malaysia",2020-01-29,7,3,0,0,0,0,7,0,0,0
"4861","Nepal",2020-01-29,1,0,0,0,0,0,1,0,0,0
"5667","Republic of Korea",2020-01-29,4,0,0,0,0,0,4,0,0,0
"6236","Singapore",2020-01-29,7,0,0,0,0,0,7,0.1,0,0.1
"6523","Sri Lanka",2020-01-29,1,0,0,0,0,0,1,0,0,0
"6792","Taiwan",2020-01-29,8,0,0,0,0,0,8,0,0,0
"6948","Thailand",2020-01-29,14,0,0,0,5,0,9,0,0,0
"7340","United Arab Emirates",2020-01-29,4,4,0,0,0,0,4,0,0,0
"7518","USA",2020-01-29,5,0,0,0,0,0,5,0,0,0
"7588","Vietnam",2020-01-29,2,0,0,0,0,0,2,0,0,0
"386","Australia",2020-01-30,9,3,0,0,2,2,7,0,0,0
"1160","Cambodia",2020-01-30,1,0,0,0,0,0,1,0,0,0
"1267","Canada",2020-01-30,2,0,0,0,0,0,2,0,0,0
"2310","Finland",2020-01-30,1,0,0,0,0,0,1,0,0,0
"2377","France",2020-01-30,5,0,0,0,0,0,5,0,0,0
"2494","Germany",2020-01-30,4,0,0,0,0,0,4,0,0,0
"2926","Hong Kong",2020-01-30,10,0,0,0,0,0,10,0.1,0,0.1
"3106","India",2020-01-30,1,1,0,0,0,0,1,0,0,0
"3552","Japan",2020-01-30,11,4,0,0,1,0,10,0,0,0
"4126","Macao",2020-01-30,7,0,0,0,0,0,7,1.1,0,1.1
"4226","Mainland China",2020-01-30,8124,2054,171,38,135,15,7818,0.6,0.1,0.5
"4317","Malaysia",2020-01-30,8,1,0,0,0,0,8,0,0,0
"4864","Nepal",2020-01-30,1,0,0,0,0,0,1,0,0,0
"5441","Philippines",2020-01-30,1,1,0,0,0,0,1,0,0,0
